"Product Name","Brand Name","Price","Rating","Reviews","Review Votes","Sentiment"
"Alcatel One Touch Fierce 2, 4GB, 5"" Screen, Unlocked","Alcatel","118.99","2","I bought many phones of this model for friends and for my use. All of them were working perfect at the first months. Couple of months later problems came with them. Mine one used to restart during phone conversations. Contact and other applicaions give error and I have to close them. Alarm mode does not works. If I try a phone call it takes long to beep or dialing. Not factory unlocked to uninstall app not needed. I had the first model and GPS works great, this one not. So I would not recomend this model. The big problem looks like to be a model manufactured exclusively for T-Mobil and Metro PCS. If they are used out from USA there are not posibilities to update when updates are available. I have done root and any how the same problem with update. My last problem at the time.","0","unhelpful"
"Alcatel One Touch Fierce 2, 4GB, 5"" Screen, Unlocked","Alcatel","118.99","2","I bought many phones of this model for friends and for my use. All of them were working perfect at the first months. Couple of months later problems came with them. Mine one used to restart during phone conversations. Contact and other applicaions give error and I have to close them. Alarm mode does not works. If I try a phone call it takes long to beep or dialing. Not factory unlocked to uninstall app not needed. I had the first model and GPS works great, this one not. So I would not recomend this model. The big problem looks like to be a model manufactured exclusively for T-Mobil and Metro PCS. If they are used out from USA there are not posibilities to update when updates are available. I have done root and any how the same problem with update. My last problem at the time.","0","unhelpful"
"BrightSpot ALCATEL ONETOUCH FierceTM 2 7040T 5"" qHD Display Touch Screen 4G Capable Android 4.4 Powered By T-Mobile","Alcatel","59.99","1","The cellphone was locked, then even did not show the way to unlock it.The phone was a fake phone","0","unhelpful"
"BrightSpot ALCATEL ONETOUCH FierceTM 2 7040T 5"" qHD Display Touch Screen 4G Capable Android 4.4 Powered By T-Mobile","Alcatel","59.99","1","This the worst phone I have Ever ORDERED !! it is always giving a error MSG saying what ever app your trying to open is not responding and when i contacted the seller with the issues that i was having with the phone he or she was such a prick and was like its not my problem !! DO NOT ORDER THIS PHONE FROM THIS SELLER EVERYTHING ABOUT THE PHONE AND SELLER IS FULL OF F***","0","unhelpful"
"BrightSpot ALCATEL ONETOUCH FierceTM 2 7040T 5"" qHD Display Touch Screen 4G Capable Android 4.4 Powered By T-Mobile","Alcatel","59.99","1","was not what it claimed to be! It was not unlocked and not a Tmobile phone. It only used their lines, that is when they were in business. They went out of business in Dec 2015.","0","unhelpful"
"BrightSpot ALCATEL ONETOUCH FierceTM 2 7040T 5"" qHD Display Touch Screen 4G Capable Android 4.4 Powered By T-Mobile","Alcatel","59.99","5","excelente","0","unhelpful"
"BrightSpot ALCATEL ONETOUCH FierceTM 2 7040T 5"" qHD Display Touch Screen 4G Capable Android 4.4 Powered By T-Mobile","Alcatel","59.99","5","EXELENT","0","unhelpful"
"BrightSpot ALCATEL ONETOUCH FierceTM 2 7040T 5"" qHD Display Touch Screen 4G Capable Android 4.4 Powered By T-Mobile","Alcatel","59.99","5","good","0","unhelpful"
"BrightSpot ALCATEL ONETOUCH FierceTM 2 7040T 5"" qHD Display Touch Screen 4G Capable Android 4.4 Powered By T-Mobile","Alcatel","59.99","5","good","0","unhelpful"
"BrightSpot ALCATEL ONETOUCH FierceTM 2 7040T 5"" qHD Display Touch Screen 4G Capable Android 4.4 Powered By T-Mobile","Alcatel","59.99","5","Love my new phone dose just what I need it to do. Thanks","0","unhelpful"
