"Product Name","Brand Name","Price","Rating","Reviews","Review Votes","Sentiment"
"Brand New Sony XPERIA E1 Dual Sim D2105 White (FACTORY UNLOCKED) 3.15MP , 4.0"" , 4GB","sony","199","3",", good phone for the money, the sensitivity is slow, and it blacks out a lot and its kind of irritating but afar that the sound is good and messaging . it did work with my t-Mobil.","0","Unhelpful"
"Sony Xperia Z5 E6683 Dual Sim Factory Unlocked International Model (white) no warranty","Sony","409.9","4","Best phone in the world. A little dissapointed with the fingerprint sensor. Not many good unlocks there..","0","Unhelpful"
"Nokia E7-00 Unlocked GSM Phone with Touchscreen, QWERTY Keyboard, Easy E-mail Setup, GPS Navigation, 8 MP Camera--U.S. Version with Warranty (Silver)","Nokia","49.99","1","I have had nothing but issues with this phone. I definitely won't order another. I usually love Nokia products, but this phone is a lemon.","0","Unhelpful"
"BLU Advance 5.0 HD -Unlocked Dual Sim Smartphone - US GSM - Rose Gold","BLU","69.99","2","NOT WORTH FOR OUR MONEY AND SCREEN TOUCH IS VERY SLOW..","0","Unhelpful"
"Apple iPhone 6 a1549 16GB Silver Unlocked (Certified Refurbished)","Apple","334.99","1","While the phone was a refurbished one three different carriers couldn't get it to activate to receive calls . Not much value in that !! A waste of money!!!!","0","Unhelpful"
"Apple iPhone 6 Plus, Gold, 16 GB (Sprint)","","549.95","5","Son loves his new phone.","0","Unhelpful"
"Kyocera Torque (Sprint) Smart Rugged Phone, Water, Dust, and Drop Proof","Kyocera","38.99","5","so far good, but doesn't hold allot gb so saids it full got a bigger sd chip , cool for now , every so often it would freeze up , but they all do that , the charge holds all day it you do use all the apps , just wont charge good without the original charger !","0","Unhelpful"
"BlackBerry 8350i Curve for Nextel (Black) Sprint - QWERTY - Wi-Fi - No Contract Required -","Black Berry","90","4","≡ƒæìjust connect the phone but a good show phone","0","Unhelpful"
"Sony Ericsson W910i Noble Black Quadband 3G Walkman Unlocked Phone","Sony","269.05","1","≡ƒÿö","0","Unhelpful"
"JUNING Unlocked Dual Sim Smartphone 5.0"" QHD Sceen Anroid 5.1 MTK6580 Quad Core ROM 4GB 5.0MP Camera GSM/3G Quadband Cell phones WIFI Bluetooth Blue","JUNING","89.99","4","It has all the apps I wanted and it runs quickly; the camera is amazing as well! Only downside for me [I hope nobody else experienced this problem] is that I had to reset my phone three times before it even started to work with the wi-fi and that the keyboard kept glitching...But now it is very great and I can use it to do everything I wanted to do! My sister got one before me and I knew I had to get one too when I saw hers lol; I like it a lot!","0","Unhelpful"
"Unlocked Dual Sim Cell Phones 6.0"" HD Display Android 5.1 Quad Core GSM Quadband JUNING Smartphones White","JUNING","99.99","5","Unlocked Dual Sim Cell Phones 6.0"" HD Display Android 5.1 Quad Core GSM Quadband i order last week always arrive on time the seller was so nice and responsive all the time... all i can say is perfect!!! i like taking picture and so far this one is the best!! i didnt have any problem with it perfect fit its like a tablet and phone combine together even its big i can fit it in my pocket and my bag... the wide screen of this phone are perfect for watching movie,movie clips,youtube!! percect wide screen! i always use this taking my pic and i love it the big lense take picture good even the selfie is realy good,if you like to travel like me or you always go back visit other country this phone is perfect for you actualy all JUNING phone are all unlocked phone they all can use in diffrent country that using GSM and WCDMA,it will save you alot of money becouse you dont need to use line phone to the country that you visit ,like me i visit my country i can bring this phone and use it there use the network sim card that we use in phillippines its open line no contract not locked in one or two carrier its realy nice to have this phone i always order juning phones and they never failed me im always amaze on thier phone you can use this as a spare phone too or gift to your kids i surely reccomend this phone to all my family and friends love this phoneheres some feature and detail about this phone..Cellphone Unlocked Dual Sim with Android 5.1 LollipopCPU:MTK6580 Quad Core 1.3 GHz Processor;GPU:Mali-4006.0"" HD (1280*720) IPS display;Dual Cameras, front camera 2.0MP, back camera 2.0MPRam:4GB Internal memory;Rom:512MB;Supports:Wi-FI,Bluetooth,3.5 mm Audio Jack,FM Radio,MP3 Player,MP4 Player Micro SD Slot up to 16GB3G (WCDMA 850/2100) and 2G Quad Band (GSM 850/900/1800/1900) network.please buy the GSM/WCDMA SIM cardspecificationBand:2G: GSM 850/900/1800/1900MHz;3G: WCDMA 850/2100MHzSim Card:Dual SIM Card Dual Standby(one Micro SIM card)Service Provide:UnlockedStyle:BarColor:WhiteOS:Android 5.1CPU:MTK6580 Quad core, 1.3GHz; GPU: Mali-400ROM:4GBRAM:512MBDisplay Size:6.0InchType:TFT, capacitive touch screenResolution:1280 x 720 pixelsData transfer:USB/BluetoothMobile internet:WAP/WiFiCamera/Picture Resolution:Dual Cameras, 2.0MP front camera, 2.0MP back cameraTV:NoGPS:NoJAVA:NoWIFI:Yes, 802.11 b/g/nBluetooth:Bluetooth 2.0Gravity Sensor:YesMulti-Touch:YesOther Feature:3G, WiFi, GPS, FM, Bluetooth, Email, Messaging,Wallpapers, Calendar, Calculator, Clock, Camera, Play Store, Tethering & portable hotspot, etcPackage included1 x Cellphone1 x Battery1 x USB Cable1 x Charger1 x Earphonefor the design and graphic how clear the phone is very impresive i got the white one so its realy elegant have alot of free stuff included to this packaged very useful phone that i have..","0","Unhelpful"
"Unlocked 5.5"" Cellphone Dual Sim MTK6580 Quad Core-JUNING Android 5.1 Smartphone White","JUNING","99.99","5","┬áThis is my favoriteThis is a unlocked 5.5 dual sim MTK6580 Quad core juning android cell phone , it is loaded with so much , and i ;love the color pink i picked for it ,It is just what i been looking for .This has so many applications that come with it , and so much more you can apply to it ,it has Ram:4GB Internal memory;Rom:512MB;Supports:Wi-FI,Bluetooth,3.5 mm Audio Jack,FM Radio,MP3 Player,MP4 Player Micro SD Slot up to 16GB.And i love how this also has dual cameras with it also, and Android 5.1 Lollipop, and supports a SD micro card up to 16 MB .I am so pleased with this cell phone , i never had one work for me as good as this one does for me , and i have straight talk on it and get service finally were i live , my other provider i had on my old cell phone , their service was not good at my house at all.The nice sleek slim look of this cell phone is also what caught me eye , when i saw this also , and the color choices are nice also ,i have had no issues with this product at all , work great for me .This has ROM:4GB,and also RAM:512MB, so has a lot of storage space , to do a lot with ,the screen is even large enough to play thosefavorite card games i like .i done video on this to show i own this and how it works for me .I am giving my honest and unbiased review of this product i have received at a full discount ,and have been using and like here is my review on this product,If you need any questions answered feel free to ask and I will try to get them answered for you as soon as I can to help you if needed.Receiving any item at a discounted rate or free has no affect on my personal thoughts and opinions and I hope my review has helped answer any questions you may have had prior to purchasing.","0","Unhelpful"
"Apple iPhone 6s 16GB Unlocked GSM 4G LTE Smartphone w/12MP Camera - Gold (Certified Refurbished)","Apple","426.99","5","╬╣ love love love ╤é╨╜╬╣╤ò p╨╜one.!! ╬╣╤é wa╤ò de╥ô╬╣n╬╣╤éely a ╨╝ajor ╧àpgrade ╥ôor ╨╝e con╤ò╬╣der╬╣ng ╬╣ ╨╜ad ╤é╨╜e ╤òa╨╝╤ò╧àng gala╤ày 4. ╤é╨╜e p╬╣c╤é╧àre╤ò are grea╤é.!! ╬╣ love ╤é╨╜e ╤òlow ╨╝o ╥ô╧ànc╤é╬╣on. ╬╣╤é ╨╜a╤ò ╤éo ╨▓e ╨╝y ╥ôavor╬╣╤ée.!","0","Unhelpful"
"Samsung Galaxy S6 Edge + Plus G9287 32GB Silver DUOS Factory Unlocked GSM - DUAL SIM - International Version","Samsung","NA","1","0 Warranty for Internation product. Camera broken after less than 1 year no warranted and refund at all .IT is not wort it to buy without any warranty.","0","Unhelpful"
"Replacement Belt Clip Holster for Otterbox Defender Samsung Galaxy S5 - Black","Ultrabox","8.99","1","1 side latch has already broken","0","Unhelpful"
"Sony Xperia Z1 (C6902) Unlocked GSM Quad-Core Water Resistant/Dust Proof Smartphone w/ 20MP Camera- Purple","Sony","290","5","100 % New","0","Unhelpful"
"Nokia Lumia 610 8Gb Black WiFi Windows Unlocked QuadBand 3G Cell Phone","","109","5","100 %satisfied with this product, keep up good work. ..","0","Unhelpful"
"BLU Tank Quadband Unlocked Dual-SIM Phone with 1800 mAh Battery, Camera and Bluetooth","BLU","25.99","5","100% ok. All good excellent product","0","Unhelpful"
"4.5 Inch Unlocked Lenovo A516 Smartphone (White) IPS Screen 854*480pixel 4GB MT6572 Dual Core Android 4.2 Dual Camera with auto Focus and Flash(Rooted + Google Play)","Lenovo","2000","5","100% recomendado","0","Unhelpful"
"Samsung Galaxy S II LTE i9210 Black Factory Unlocked LTE BANDS 800 / 1800 / 2600 no warranty","Samsung","140","5","100% recomendado very good","0","Unhelpful"
"LG K10 K430T 16GB White, 5.3"", 13MP, Unlocked International Model, No Warranty","LG","156.99","1","2 phones 2 problems returned the first one after the day we got the product it didnt work properly and got a replacement from them, got the replacement not even 3 months same problem and pretty much gotta buy a whole new phone because its out of warranty owned the phone for less than 3 months","0","Unhelpful"
"HTC One A9 Factory Unlocked Smartphone, 32GB 4G LTE 5-Inch HD Display (International Stock No Warranty), Gold","HTC","332","4","2nd HTC so familiar with the design. My only complaint is that when I have a message waiting the phone gives a constant sound notification. Apart from putting on silent is there a way I can stop that from happening?","0","Unhelpful"
